mes,ph_solo,umidade_solo,inseticida_L_m2,bactericida_L_m2,fungicida_L_m2,npk_kg_m2
Janeiro,5.8,33,0.015,0.010,0.020,0.025
Fevereiro,5.8,32,0.014,0.009,0.018,0.025
Março,5.9,30,0.012,0.008,0.015,0.023
Abril,5.9,28,0.010,0.007,0.012,0.020
Maio,6.0,27,0.009,0.006,0.010,0.020
Junho,6.0,25,0.008,0.005,0.008,0.018
Julho,5.9,23,0.007,0.005,0.007,0.017
Agosto,5.9,22,0.007,0.005,0.007,0.017
Setembro,5.8,24,0.008,0.006,0.010,0.018
Outubro,5.8,28,0.010,0.007,0.015,0.022
Novembro,5.7,30,0.012,0.008,0.018,0.024
Dezembro,5.7,32,0.014,0.009,0.020,0.025
